"Name","id","Source","Phone","Website/Social Media","Category","Latitude","Longitude","Address","Status","Pickup Offered","Delivery Offered","Notes","Hours","Delivery Apps","MWBE","Black Owned Business","Instagram","Sub-Category","Outdoor Dining","Indoor Dining","Order Website","Last Updated","Created time","Delivery/Pickup Notes","Owners","Images","Email","Special Accommodation Hours"
"67 Orange Street",3470,"UGC website","(212) 662-2030","https://67orangestreet.square.site/","Restaurants/Bars",40.802212,-73.956633,"2082 Frederick Douglass Boulevard, New York, NY 10026 ","Open","Yes","Yes","
","Sunday-Thursday 5-10 p.m., Friday-Saturday 5-11 p.m.
","[seamless](https://www.seamless.com/menu/67-orange-street-2082-frederick-douglass-blvd-new-york/2048056?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [grubhub](https://www.grubhub.com/restaurant/67-orange-street-2082-frederick-douglass-blvd-new-york/2048056?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), t[rycaviar](https://www.trycaviar.com/store/67-orange-street-new-york-925657/en-US/?utm_campaign=gpa)
",true,true,"https://www.instagram.com/67orangestreet/","Restaurant/Bar","yes","yes","[seamless](https://www.seamless.com/menu/67-orange-street-2082-frederick-douglass-blvd-new-york/2048056?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [grubhub](https://www.grubhub.com/restaurant/67-orange-street-2082-frederick-douglass-blvd-new-york/2048056?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), t[rycaviar](https://www.trycaviar.com/store/67-orange-street-new-york-925657/en-US/?utm_campaign=gpa)
","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"9 Tails Coffee",3471,"UGC website",,,"Restaurants/Bars",40.807677,-73.942711,"23 West 126th Street, New York, NY 10027 ","Open","Yes","No",,"Daily 8 a.m.-3 p.m.	
",,,,"https://www.instagram.com/9tailsny/","Restaurant/Bar","no","n/a",,"2020-10-13","2020-06-15T20:53:30.000Z",,,,,
"Accra Restaurant",3472,"Restaurant","(212) 932-7739","https://www.ubereats.com/new-york/food-delivery/accra-restaurant-harlem/CW4PeKBwQ4uHRGzUkOvTSQ","Restaurants/Bars",40.807646,-73.948864,"2065 Adam Clayton Powell Boulevard, New York, NY 10027 ","Open","Yes","Yes","
","Monday-Sunday 10am- 11pm
","[Ubereats](https://www.ubereats.com/new-york/food-delivery/accra-restaurant-harlem/CW4PeKBwQ4uHRGzUkOvTSQ?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [doordash ](https://www.doordash.com/store/accra-restaurant-new-york-133974/en-US/?utm_campaign=gpa)[grubhub, ](https://www.grubhub.com/restaurant/accra-restaurant-2065-adam-clayton-powell-jr-blvd-new-york/1338632?utm_source=google&utm_medium=organic&utm_campaign=place-action-link)[seamles](https://www.seamless.com/menu/accra-restaurant-2065-adam-clayton-powell-jr-blvd-new-york/1338632?utm_source=google&utm_medium=organic&utm_campaign=place-action-link)s, [postmates](https://postmates.com/merchant/accra-restaurant-of-harlem-harlem?client=customer.web&version=3.0.0)
",true,true,"https://www.instagram.com/accrarestaurant/","Restaurant/Bar","no","no","[Ubereats](https://www.ubereats.com/new-york/food-delivery/accra-restaurant-harlem/CW4PeKBwQ4uHRGzUkOvTSQ?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [doordash ](https://www.doordash.com/store/accra-restaurant-new-york-133974/en-US/?utm_campaign=gpa)[grubhub, ](https://www.grubhub.com/restaurant/accra-restaurant-2065-adam-clayton-powell-jr-blvd-new-york/1338632?utm_source=google&utm_medium=organic&utm_campaign=place-action-link)[seamles](https://www.seamless.com/menu/accra-restaurant-2065-adam-clayton-powell-jr-blvd-new-york/1338632?utm_source=google&utm_medium=organic&utm_campaign=place-action-link)s, [postmates](https://postmates.com/merchant/accra-restaurant-of-harlem-harlem?client=customer.web&version=3.0.0)
","2020-10-29","2020-06-15T20:53:30.000Z","
",,,,
"Africa Kine",3473,"Restaurant","212-666-9400","https://www.africakinenyc.com/","Restaurants/Bars",40.81415,-73.944109,"2267 Adam Clayton Powell Boulevard, New York, NY 10030 ","Open","Yes","Yes","
","Monday-Sunday 1pm-1am		

","### [GRUBHUB](https://www.grubhub.com/restaurant/africa-kine-restaurant-2267-7th-ave-new-york/318817?gclid=EAIaIQobChMI6t_Pl5q06QIVDWyGCh2cwAUNEAAYASAAEgKoYvD_BwE&gclsrc=aw.ds), [DOORDASH](https://www.doordash.com/store/africa-kine-restaurant-new-york-40332/en-US), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/africa-kine-restaurant/41qtFDiATgKbM6UXEanzYA)

",true,,,"Restaurant/Bar","no","no","### [GRUBHUB](https://www.grubhub.com/restaurant/africa-kine-restaurant-2267-7th-ave-new-york/318817?gclid=EAIaIQobChMI6t_Pl5q06QIVDWyGCh2cwAUNEAAYASAAEgKoYvD_BwE&gclsrc=aw.ds), [DOORDASH](https://www.doordash.com/store/africa-kine-restaurant-new-york-40332/en-US), [UBER EATS](https://www.ubereats.com/new-york/food-delivery/africa-kine-restaurant/41qtFDiATgKbM6UXEanzYA)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Alison Restaurant",3474,"UGC website","646-876-1054","https://www.alisonny.com/","Restaurants/Bars",40.790948,-73.946939,"1651 Lexington Avenue, New York, NY 10029 ","Open","Yes","Yes","
","Daily 4-9:30 p.m.
","### [IN-HOUSE](https://www.alisonny.com/),_ _[GRUBHUB](https://www.grubhub.com/restaurant/alison-1651-lexington-ave-new-york/1400929?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [CHOWNOW](https://eat.chownow.com/discover/restaurant/25297?utm_source=google&utm_medium=organic&utm_campaign=place_action), [SEAMLESS](https://www.seamless.com/menu/alison-1651-lexington-ave-new-york/1400929?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [UBEREATS](https://www.ubereats.com/new-york/food-delivery/alison/nm6bjJC3R4eYcX7stb9IPg/?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/alison), [ALLSETNOW](https://allsetnow.com/restaurant/alison-2507/?refer=google-map)

",,,"https://www.instagram.com/alisonrestaurant.nyc/","Restaurant/Bar","yes","yes","### [IN-HOUSE](https://www.alisonny.com/),_ _[GRUBHUB](https://www.grubhub.com/restaurant/alison-1651-lexington-ave-new-york/1400929?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [CHOWNOW](https://eat.chownow.com/discover/restaurant/25297?utm_source=google&utm_medium=organic&utm_campaign=place_action), [SEAMLESS](https://www.seamless.com/menu/alison-1651-lexington-ave-new-york/1400929?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [UBEREATS](https://www.ubereats.com/new-york/food-delivery/alison/nm6bjJC3R4eYcX7stb9IPg/?utm_source=google&utm_medium=organic&utm_campaign=place-action-link), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/alison), [ALLSETNOW](https://allsetnow.com/restaurant/alison-2507/?refer=google-map)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Amor Cubano",3475,"Ugc website","212-996-1220",,"Restaurants/Bars",40.794755,-73.942661,"2018 Third Avenue, New York, NY 10029 ","Open","Yes","Yes","
","Daily Noon-10 p.m.	
","### [GRUBHUB](https://www.grubhub.com/restaurant/amor-cubano-2018-3rd-ave-new-york/205968), [POSTMATES](https://postmates.com/merchant/amor-cubano-new-york), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/amor-cubano?address=56%20E%20126th%20St%2C%2010035&orderTime=ASAP&orderType=delivery), [EZCATER](https://www.ezcater.com/brand/amor-cubano)

",true,,"https://www.instagram.com/amor_cubano_nyc","Restaurant/Bar","yes","yes","### [GRUBHUB](https://www.grubhub.com/restaurant/amor-cubano-2018-3rd-ave-new-york/205968), [POSTMATES](https://postmates.com/merchant/amor-cubano-new-york), [DELIVERY.COM](https://www.delivery.com/cities/nyc/categories/restaurant/amor-cubano?address=56%20E%20126th%20St%2C%2010035&orderTime=ASAP&orderType=delivery), [EZCATER](https://www.ezcater.com/brand/amor-cubano)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Amy Ruth's",3476,"CK","212-280-8779","http://amyruths.com/","Restaurants/Bars",40.802494,-73.950048,"113 West 116th Street, New York, NY 10026 ","Open","Yes","Yes","
","Daily 11 a.m.-10 p.m.
","### [GRUBHUB](https://www.grubhub.com/restaurant/amy-ruths-home-style-southern-cuisine-113-w-116th-st-new-york/1053776), [DOORDASH](https://www.doordash.com/store/amy-ruth-s-new-york-133665/en-US)

",true,true,"https://www.instagram.com/amyruthsharlem/","Restaurant/Bar","no","yes","### [GRUBHUB](https://www.grubhub.com/restaurant/amy-ruths-home-style-southern-cuisine-113-w-116th-st-new-york/1053776), [DOORDASH](https://www.doordash.com/store/amy-ruth-s-new-york-133665/en-US)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Anchor Wine Bar",3477,"UGC website","212-234-3048",,"Independent Retail",40.825271,-73.950886,"3508 Broadway, New York, NY 10031 `","Open","Yes","Yes","grubhub, postmates
","Monday-Sunday 4pm-9pm
",,,,"https://www.instagram.com/anchorwinebar/","Restaurant/Bar","no",,,"2020-10-12","2020-06-15T20:53:30.000Z",,"The creation of three long-time Italian friends, Fabrizio, Luigi, and Maurizio",,,
"Archer and Goat",3478,"UGC website ","917-261-6602","https://www.archerandgoat.com/reservations/","Restaurants/Bars",40.80434,-73.948417,"187 Malcolm X Boulevard, New York, NY 10026 ","Open","Yes","Yes","
","Thursday-Sunday 5-10 p.m.
","### [UBEREATS](https://www.ubereats.com/new-york/food-delivery/archer-%26-goat/Heb2sECFQhiGlfS9hkI3IA/?utm_source=google&utm_medium=organic&utm_campaign=place-action-link)

",true,true,"https://www.instagram.com/archerandgoat_harlem/","Restaurant/Bar","yes","yes","### [UBEREATS](https://www.ubereats.com/new-york/food-delivery/archer-%26-goat/Heb2sECFQhiGlfS9hkI3IA/?utm_source=google&utm_medium=organic&utm_campaign=place-action-link)

","2020-10-29","2020-06-15T20:53:30.000Z",,,,,
"Armonie Pizza Bistro",3479,"UGC website","212-722-6400",,"Restaurants/Bars",40.799729,-73.94261,"1649 Park Avenue, New York, NY 10035 ","Open","Yes","No",,"Wednesday-Sunday 12pm-8 p.m
",,,,"https://www.instagram.com/armonie_bistro/","Restaurant/Bar","yes","yes",,"2020-10-28","2020-06-15T20:53:30.000Z",,,,,
