"Name","id","Phone","Website/Social Media","Latitude","Longitude","Address","Sub-Category","Last Updated","Created time","Notes","Category","Source","Status","Email","Special Accommodation Hours","SNAP/EBT","WIC","Pickup Offered","Delivery Offered","Delivery/Pickup Notes","Donate"
"Mosaic Roosevelt Island Church",630,"(347) 674-8659","http://mosaicri.nyc/",40.761804,-73.950135,"543 Main St, New York","church,place_of_worship,point_of_interest,establishment","2020-04-28T04:00:00.000Z","2020-05-29T17:32:11.000Z","Food supplies drive donations Visit [www.facebook.com/dansadlier][1] More info [www.instagram.com/mosaicwqnyc/][2]

  [1]: http://www.facebook.com/dansadlier
  [2]: http://www.instagram.com/mosaicwqnyc/
","Community Services",,,,,,,,,,
"Mosaic Church via 46-01 43rd Ave",631,,,40.745343,-73.917863,"Sunnyside",,"2020-04-28T04:00:00.000Z","2020-05-29T17:32:14.000Z","Drop off non-perishable items at 46-01 43rd Ave, Monday-Friday (5-8pm). Help us love our Queens neighbors well [www.facebook.com/dansadlier][1] Info [www.instagram.com/mosaicwqnyc/][2]

  [1]: http://www.facebook.com/dansadlier
  [2]: http://www.instagram.com/mosaicwqnyc/
","Community Services",,,,,,,,,,
"The Queensboro: Meals for Elmhurst Hospital",632,"(929) 296-0038","https://www.thequeensboro.com/",40.75525,-73.88708,"80-02 Northern Blvd, Jackson Heights","restaurant,food,point_of_interest,establishment","2020-04-09T04:00:00.000Z","2020-05-29T17:32:14.000Z","The Queensboro is providing meals for frontline personnel at Elmhurst Hospital. More: [www.thequeensboro.com/post/help-feed-hospital-workers][1]

  [1]: http://www.thequeensboro.com/post/help-feed-hospital-workers
","Community Services",,,,,,,,,,
"Woodside on The Move",633,"(718) 476-8449","http://www.woodsideonthemove.org/",40.742862,-73.913044,"51-23 Queens Blvd, Woodside","point_of_interest,establishment","2020-04-25T04:00:00.000Z","2020-05-29T17:32:14.000Z","Sat-Sun 5pm-8pm WOTM is continuing to serve our community that is affected the hardest! If you are food insecure, our office will be open for food distribution on  #wearewoodsidenyc Info [www.instagram.com/woodsideonthemove][1]

  [1]: http://www.instagram.com/woodsideonthemove
","Community Services",,,,,,,,,,
"LITTLE FRIENDS SCHOOL",634,"(718) 786-4644",,40.74354,-73.91787,"43-42 47th St, Long Island City","school,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Free Emergency Childcare Center for first responders [No money exchanged] Call/Text Tammy (718) 786-4644 Email littlefriends@kindersproutselc.com
","Community Services",,,,,,,,,,
"LITTLE FRIENDS INFANT & TODDLER PROGRAM",635,"(347) 696-4396",,40.745885,-73.920322,"41-32 44th St, Long Island City","school,point_of_interest,establishment","2020-04-16T04:00:00.000Z","2020-05-29T17:32:14.000Z","Free Emergency Childcare Center for first responders [No money exchanged] Call/Text Tammy (718) 786-4644 Email littlefriends@kindersproutselc.com
","Community Services",,,,,,,,,,
"Sunnyside Gardens Park",636,"(718) 672-1555","http://sunnysidegardenspark.org/",40.749655,-73.914527,"48-21 39th Ave, Sunnyside","tourist_attraction,park,point_of_interest,establishment","2020-05-04T04:00:00.000Z","2020-05-29T17:32:14.000Z","Partnered with Cooldown Juice to deliver fresh, organic juices to the staff at Elmhurst Hospital. Donate here <https://sunnysidegardenspark.org/Juice-for-Elmhurst-Hospital>
","Community Services",,,,,,,,,,
"Smiling Hogshead Ranch",637,"(347) 509-4464","http://www.smilinghogsheadranch.org/",40.743146,-73.943055,"25-30 Skillman Ave, Long Island City","park,point_of_interest,establishment","2020-04-06T04:00:00.000Z","2020-05-29T17:32:14.000Z","Info/Updates [www.smilinghogsheadranch.org][1]

  [1]: http://www.smilinghogsheadranch.org
","Community Services",,,,,,,,,,
"PS 361Q The Woodside Community School",638,"(718) 592-3300","http://www.ps361q.org/",40.747714,-73.905814,"39-7 57th St, Woodside","school,point_of_interest,establishment","2020-04-20T04:00:00.000Z","2020-05-29T17:32:14.000Z","(We miss you 361)
","Community Services",,,,,,,,,,
"State Senator Jessica Ramos",639,"(718) 205-3881","https://www.nysenate.gov/senators/jessica-ramos",40.7576569,-73.8739219,"32-37 Junction Blvd, East Elmhurst","point_of_interest,establishment","2020-05-07T04:00:00.000Z","2020-05-29T17:32:14.000Z","Friday May 15th 12pm until the food runs out 32-37 Junction Blvd  East Elmhurst, NY in partnership with NY state farms to distribute free fresh fruits & vegetables <https://twitter.com/jessicaramos/status/1260634319225225216>
","Community Services",,,,,,,,,,
